emp_id,name,department,salary,join_date,status
151,Emp_151,MARKETING,73963,2020-03-08,ACTIVE
152,Emp_152,MARKETING,79253,2020-03-31,ACTIVE
153,Emp_153,IT,83668,2021-10-16,ACTIVE
154,Emp_154,FINANCE,84331,2020-06-28,ACTIVE
155,Emp_155,MARKETING,90570,2021-12-28,ACTIVE
156,Emp_156,MARKETING,47947,2020-07-23,ACTIVE
157,Emp_157,HR,80039,2020-10-23,ACTIVE
158,Emp_158,MARKETING,94302,2020-02-13,ACTIVE
159,Emp_159,FINANCE,69834,2021-05-20,ACTIVE
160,Emp_160,MARKETING,90745,2020-08-17,ACTIVE
161,Emp_161,IT,30320,2020-06-06,ACTIVE
162,Emp_162,FINANCE,69343,2022-09-05,ACTIVE
163,Emp_163,SALES,46276,2021-10-31,ACTIVE
164,Emp_164,FINANCE,84677,2020-07-02,ACTIVE
165,Emp_165,SALES,62079,2020-01-30,ACTIVE
166,Emp_166,IT,66335,2021-05-19,ACTIVE
167,Emp_167,IT,77416,2021-08-18,ACTIVE
168,Emp_168,SALES,87156,2022-06-08,ACTIVE
169,Emp_169,FINANCE,92395,2022-09-24,ACTIVE
170,Emp_170,IT,78916,2021-06-08,ACTIVE
171,Emp_171,MARKETING,32299,2022-05-15,ACTIVE
172,Emp_172,FINANCE,51344,2021-08-18,ACTIVE
173,Emp_173,IT,49154,2020-11-23,ACTIVE
174,Emp_174,SALES,47759,2020-12-31,ACTIVE
175,Emp_175,HR,36932,2020-10-06,ACTIVE
176,Emp_176,FINANCE,84986,2021-10-13,ACTIVE
177,Emp_177,FINANCE,36385,2020-10-23,ACTIVE
178,Emp_178,FINANCE,99417,2021-10-16,ACTIVE
179,Emp_179,IT,97353,2020-07-17,ACTIVE
180,Emp_180,HR,42387,2021-09-05,ACTIVE
181,Emp_181,HR,72284,2022-06-12,ACTIVE
182,Emp_182,FINANCE,69462,2020-10-04,ACTIVE
183,Emp_183,FINANCE,42561,2021-07-01,ACTIVE
184,Emp_184,MARKETING,76088,2022-04-23,ACTIVE
185,Emp_185,HR,31690,2020-05-20,ACTIVE
186,Emp_186,MARKETING,66885,2021-01-16,ACTIVE
187,Emp_187,SALES,84000,2020-12-14,ACTIVE
188,Emp_188,HR,43424,2020-08-11,ACTIVE
189,Emp_189,HR,95979,2020-08-14,ACTIVE
190,Emp_190,HR,98898,2022-05-16,ACTIVE
191,Emp_191,MARKETING,44937,2021-03-03,ACTIVE
192,Emp_192,SALES,40013,2020-04-29,ACTIVE
193,Emp_193,HR,32277,2021-05-06,ACTIVE
194,Emp_194,FINANCE,70838,2021-12-08,ACTIVE
195,Emp_195,FINANCE,48220,2022-04-16,ACTIVE
196,Emp_196,SALES,98566,2022-02-20,ACTIVE
197,Emp_197,FINANCE,52571,2021-12-27,ACTIVE
198,Emp_198,FINANCE,33769,2022-02-01,ACTIVE
199,Emp_199,IT,59144,2020-05-11,ACTIVE
200,Emp_200,HR,59697,2020-11-10,ACTIVE
