emp_id,name,department,salary,join_date,status
151,Emp_151,Marketing,73963,2020-03-08,Active
152,Emp_152,Marketing,79253,2020-03-31,Active
153,Emp_153,IT,83668,2021-10-16,Active
154,Emp_154,Finance,84331,2020-06-28,Active
155,Emp_155,Marketing,90570,2021-12-28,Active
156,Emp_156,Marketing,47947,2020-07-23,Active
157,Emp_157,HR,80039,2020-10-23,Active
158,Emp_158,Marketing,94302,2020-02-13,Active
159,Emp_159,Finance,69834,2021-05-20,Active
160,Emp_160,Marketing,90745,2020-08-17,Active
161,Emp_161,IT,30320,2020-06-06,Active
162,Emp_162,Finance,69343,2022-09-05,Active
163,Emp_163,Sales,46276,2021-10-31,Active
164,Emp_164,Finance,84677,2020-07-02,Active
165,Emp_165,Sales,62079,2020-01-30,Active
166,Emp_166,IT,66335,2021-05-19,Active
167,Emp_167,IT,77416,2021-08-18,Active
168,Emp_168,Sales,87156,2022-06-08,Active
169,Emp_169,Finance,92395,2022-09-24,Active
170,Emp_170,IT,78916,2021-06-08,Active
171,Emp_171,Marketing,32299,2022-05-15,Active
172,Emp_172,Finance,51344,2021-08-18,Active
173,Emp_173,IT,49154,2020-11-23,Active
174,Emp_174,Sales,47759,2020-12-31,Active
175,Emp_175,HR,36932,2020-10-06,Active
176,Emp_176,Finance,84986,2021-10-13,Active
177,Emp_177,Finance,36385,2020-10-23,Active
178,Emp_178,Finance,99417,2021-10-16,Active
179,Emp_179,IT,97353,2020-07-17,Active
180,Emp_180,HR,42387,2021-09-05,Active
181,Emp_181,HR,72284,2022-06-12,Active
182,Emp_182,Finance,69462,2020-10-04,Active
183,Emp_183,Finance,42561,2021-07-01,Active
184,Emp_184,Marketing,76088,2022-04-23,Active
185,Emp_185,HR,31690,2020-05-20,Active
186,Emp_186,Marketing,66885,2021-01-16,Active
187,Emp_187,Sales,84000,2020-12-14,Active
188,Emp_188,HR,43424,2020-08-11,Active
189,Emp_189,HR,95979,2020-08-14,Active
190,Emp_190,HR,98898,2022-05-16,Active
191,Emp_191,Marketing,44937,2021-03-03,Active
192,Emp_192,Sales,40013,2020-04-29,Active
193,Emp_193,HR,32277,2021-05-06,Active
194,Emp_194,Finance,70838,2021-12-08,Active
195,Emp_195,Finance,48220,2022-04-16,Active
196,Emp_196,Sales,98566,2022-02-20,Active
197,Emp_197,Finance,52571,2021-12-27,Active
198,Emp_198,Finance,33769,2022-02-01,Active
199,Emp_199,IT,59144,2020-05-11,Active
200,Emp_200,HR,59697,2020-11-10,Active
